song,album,section,text
The Great War,Midnights,[Verse 3],"We can plant a memory garden
Say a solemn prayer, place a poppy in my hair
There's no morning glory, it was war, it wasn't fair
And we will never go back"
The Great War,Midnights,[Chorus],"To that bloodshed, crimson clover
Uh-huh, the worst was over
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, we're burned for better
I vowed I would always be yours
'Cause we survived the Great War"
The Great War,Midnights,[Outro],"Uh-huh, uh-huh
I will always be yours
'Cause we survived the Great War
Uh-huh
I vow I will always be yours"
Bigger Than The Whole Sky,Midnights,[Verse 1],"No words appear before me in the aftermath
Salt streams out my eyes and into my ears
Every single thing I touch becomes sick with sadness
'Cause it's all over now, all out to sea"
Bigger Than The Whole Sky,Midnights,[Chorus],"Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you
What could've been, would've been you"
Bigger Than The Whole Sky,Midnights,[Verse 2],"Did some bird flap its wings over in Asia?
Did some force take you because I didn't pray?
Every single thing to come has turned into ashes
'Cause it's all over, it's not meant to be
So I'll say words I don't believe"
Bigger Than The Whole Sky,Midnights,[Chorus],"Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you"
Bigger Than The Whole Sky,Midnights,[Bridge],"What could've been, would've been you
What could've been, would've been
What should've been you
What could've been, would've been you
(What could've been, would've been you)"
Bigger Than The Whole Sky,Midnights,[Chorus],"Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you"
High Infidelity,Midnights,[Verse 1],"Lock broken, slur spoken
Wound open, game token
I didn't know you were keeping count
Rain soaking, blind hoping
You said I was freeloading
I didn't know you were keeping count"
High Infidelity,Midnights,[Chorus],"High infidelity
Put on your records and regret me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it"
High Infidelity,Midnights,[Refrain],"Do you really wanna know where I was April 29th?
Do I really have to chart the constellations in his eyes?"
High Infidelity,Midnights,[Verse 2],"Storm coming, good husband
Bad omen
Dragged my feet right down the aisle
At the house lonely, good money
I'd pay if you'd just know me
Seemed like the right thing at the time"
High Infidelity,Midnights,[Refrain],"You know there's many different ways that you can kill the one you love
The slowest way is never loving them enough
Do you really wanna know where I was April 29th?
Do I really have to tell you how he brought me back to life?"
High Infidelity,Midnights,[Chorus],"High infidelity
Put on your records and regret me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it"
High Infidelity,Midnights,[Refrain],"Do you really want to know where I was April 29th?
Do I really have to chart the constellations in his eyes?
You know there's many different ways that you can kill the one you love
The slowest way is never loving them enough"
High Infidelity,Midnights,[Chorus],"High infidelity
Put on your records and regret meeting me
I bent the truth too far tonight
I was dancing around, dancing around it
High infidelity
Put on your headphones and burn my city
Your picket fence is sharp as knives
I was dancing around, dancing around it"
High Infidelity,Midnights,[Post-Chorus],"Oh, there's many different ways that you can kill the one you love
And it's never enough, it's never enough"
