song,album,section,text
A Perfectly Good Heart,Taylor Swift,[Pre-Chorus],"No matter what you say
I still can't believe that you would walk away
It don't make sense to me, but"
A Perfectly Good Heart,Taylor Swift,[Chorus],"Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?"
A Perfectly Good Heart,Taylor Swift,[Bridge],"It's not unbroken anymore (It's not unbroken anymore)
How do I get it back the way it was before?"
A Perfectly Good Heart,Taylor Swift,[Chorus],"Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break -
(Why) Would you wanna break it?"
A Perfectly Good Heart,Taylor Swift,[Chorus],"Why would you wanna break
A perfectly good heart?
Why would you wanna take
Our love and tear it all apart now?
Why would you wanna make
The very first scar?
Why would you wanna break
A perfectly good heart?"
A Perfectly Good Heart,Taylor Swift,[Post-Chorus],Mmm-hmm
Beautiful Eyes,Beautiful Eyes,[Verse 1],"Your beautiful eyes
Stare right into mine
And sometimes, I think of you late at night
I don't know why"
Beautiful Eyes,Beautiful Eyes,[Pre-Chorus],"I wanna be somewhere where you are
I wanna be where"
Beautiful Eyes,Beautiful Eyes,[Chorus],"You're here, your eyes are lookin' into mine
So baby, make me fly
My heart has never felt this way before
I'm looking through your -
I'm looking through your eyes"
Beautiful Eyes,Beautiful Eyes,[Verse 2],"I wake up, I'm alive
In only a little while, I'll cry
'Cause you're my lullaby
So baby, come hold me tight 'cause I"
Beautiful Eyes,Beautiful Eyes,[Pre-Chorus],"I wanna be everything you need
I wanna be where"
Beautiful Eyes,Beautiful Eyes,[Chorus],"You're here, your eyes are lookin' into mine
So baby, make me fly
My heart has never felt this way before
I'm looking through your -
I'm looking through your eyes"
Beautiful Eyes,Beautiful Eyes,[Bridge],"Just as long as you're mine
I'll be your everything tonight
Let me love you, kiss you
Oh, baby, let me miss you
Let me see your, dream about, dream about
Dream about your eyes"
Beautiful Eyes,Beautiful Eyes,[Outro],"Ah, ah
Beautiful eyes"
I Heart ?,Beautiful Eyes,[Verse 1],"Wish I had concentrated
They said love was complicated
But it's something I just fell into
And it was overrated
But just look what I've created
I came out alive but I'm black and blue"
I Heart ?,Beautiful Eyes,[Pre-Chorus],"Before you ask me if I'm alright
Think about what I had to do, yeah"
I Heart ?,Beautiful Eyes,[Chorus],"Wake up and smell the breakup
Fix my heart, put on my makeup
Another mess I didn't plan
And I'll bet you thought you'd beat me
Wish you could only see
I got an ""I heart question mark""
Written on the back of my hand"
I Heart ?,Beautiful Eyes,[Verse 2],"I'd be fine if you just walked by
But you had to talk about why
You were wrong and I was right
But I can't believe you made me
Sit at home, cry like a baby
Wait right by the phone every night"
I Heart ?,Beautiful Eyes,[Pre-Chorus],"And now you ask about you and I
There's no you and I
Remember what you put me through, I had to"
I Heart ?,Beautiful Eyes,[Chorus],"Wake up and smell the breakup
Fix my heart, put on my makeup
Another mess I didn't plan
And I'll bet you thought you'd beat me
Wish you could only see
I got an ""I heart question mark""
Written on the back of my hand"
I Heart ?,Beautiful Eyes,[Bridge],"And when you're home all alone at night
You'll still wonder why
You took everything I had, oh, baby
I haven't thought about you and I
There's no you and I
And I know someday you will"
I Heart ?,Beautiful Eyes,[Chorus],"Wake up and smell the breakup
Realize that we won't make up
It didn't go the way you planned
And you'll know you didn't beat me
When you look down and see
I got an ""I heart question mark""
Written on the back of my hand"
I Heart ?,Beautiful Eyes,[Outro],"Written on the back of my hand
An ""I heart question mark,"" yeah
Written on the back of my hand"
